id	title	name_src	variants	type	aat_type	ccodes	lon	lat	min	max
95	Σκραπάρι (Skrapari)	ali-pasha	Σκραπάργι	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.233333	40.5	1780	1820
96	Φιλιππούπολη (Philippoupolē)	ali-pasha	Φιλιμπή, Φιλιμπέ, Φίλπες, Φιλιππέ	subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	24.75	42.15	1780	1820
97	Βλάχοι (Blachoi)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
98	Βοΰνο (Bouno)	ali-pasha	Βοΰνος, Βουνί	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
99	Γαλαζίδιγαλαζιδιώτικος (Galazidigalazidiōtikos)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.38001	38.38067	1780	1820
100	Ευρώπη (Eurōpē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	15.2551	54.526	1780	1820
101	Νιβίτζα (Nibitza)	ali-pasha	Νίβιτσα, Νιβίστα, Νεβίτζα Μαλισιώτες	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	19.89333	40.24111	1780	1820
102	Πολιάνα (Poliana)	ali-pasha	Πουλιάνα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
103	Σελιό (Selio)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
104	Άγια (Agia)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.75	39.716667	1780	1820
105	Άθήνα (Athēna)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	23.727806	37.983972	1780	1820
106	Θήβα (Thēba)	ali-pasha	Ίστίφ, Στίφα, Istife	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	23.316667	38.316667	1780	1820
107	Ἰσπανία (Ispania)	ali-pasha	Σπάνια	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	-4	40	1780	1820
108	Καλαμπάκα (Kalampaka)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.633333	39.7	1780	1820
109	Λιμπόχοβο (Limpochobo)	ali-pasha	Έλιπόχοβο	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.266667	40.033333	1780	1820
110	Μαλανδρίνο (Malandrino)	ali-pasha	Μαλαντρίνο, Μαλατρίνο	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.23333	38.45	1780	1820
111	Μάλτα (Malta)	ali-pasha	Malta	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	14.5	35.883333	1780	1820
112	Νέχαλη (Nechalē)	ali-pasha	Αϊχαλη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.48044	39.67642	1780	1820
113	Νίσσα (Nissa)	ali-pasha	Νίσι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.89568	43.321795	1780	1820
114	Πολίτσανη (Politsanē)	ali-pasha	Πολίτζιανη, Πολίτζανη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.350556	40.131389	1780	1820
115	Σαλαώρα (Salaōra)	ali-pasha	Σαλαγόρα	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.867311	39.031492	1780	1820
116	Βυρός (Byros)	ali-pasha	Βρεγός, Βεργό	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.00889	40.00667	1780	1820
117	Γλυκή (Glykē)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.725	39.686667	1780	1820
118	Δέσιανη (Desianē)	ali-pasha	Δέσανη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.725	39.686667	1780	1820
119	Δραγαμέστο (Dragamesto)	ali-pasha	Δραγαμέστι, Δραγομέστο, Δραγομέστι, Ντραγομεσίνι, Νδραγιομέστι, Dragomeste	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.090556	38.581667	1780	1820
120	Ζάκυνθος (Zakynthos)	ali-pasha	Zante	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.8975	37.782778	1780	1820
121	Ιταλία (Italia)	ali-pasha	Ίτάλια	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	12	43	1780	1820
122	Λιβίκιστα (Libikista)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	20.67581	39.45761	1780	1820
123	Σέρρες (Serres)	ali-pasha		province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	23.55	41.083333	1780	1820
124	Ἄρβανο (Arbano)	ali-pasha	Ἄρμπηρ, Ἄρπερη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	19.833333	40.166667	1780	1820
125	Βενετίαβενετικός (Benetiabenetikos)	ali-pasha	Βενετγιά	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	12.335833	45.4375	1780	1820
126	Ζάρκος (Zarkos)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.124722	39.607778	1780	1820
127	Καστέλλι (Kastelli)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.766667	38.333333	1780	1820
128	Κατερίνη (Katerinē)	ali-pasha	Κατερίνα	province	provinces	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.5	40.266667	1780	1820
129	Μισίρι (Misiri)	ali-pasha	Μεσίρι	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	30.8025	26.8206	1780	1820
130	Νταγκλί (Ntankli)	ali-pasha		settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	0	0	1780	1820
131	Ὄλυμπος (Olympos)	ali-pasha	Ἔλυμπος	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	22.358611	40.085556	1780	1820
132	Πρωσία (Prōsia)	ali-pasha	Προυσία, Μπρουσία	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.259319	40.452469	1780	1820
133	Χρούπιστα (Chroupista)	ali-pasha		subdistrict	districts	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.25	40.45	1780	1820
134	Ανατολή (Anatolē)	ali-pasha	Άνάντολη	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	35	39	1780	1820
135	Άνατολικό (Anatoliko)	ali-pasha	Αιτωλικό	settlement	inhabited places	["GR","AL","TR","MK","BG","IT","AT","RU","RO"]	21.35358	38.43704	1780	1820
