id	name	name_src	type	aat_type	close_match
15540	Tacubaya	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1000860
15541	Tacuchameta	alcedo	pueblo	town	
15542	Tacucu	alcedo	rio	river	
15543	Tacunga	alcedo	provincia	province	
15544	Tacupeto	alcedo	pueblo	town	
15545	Tacurachi	alcedo	pueblo	town	
15546	Tacuragua	alcedo	rio	river	
15547	Tacuray	alcedo	rio	river	
15548	Tacuta	alcedo	pueblo	town	
15549	Tacuta	alcedo	rio	river	
15550	Tacuto	alcedo	rio	river	
15551	Tadan	alcedo	pueblo	town	
15552	Taday	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5600394
15553	Tadeo	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6001552
15554	Tadoussac	alcedo	pueblo	town	
15555	Taensas	alcedo	pueblos y tierras indígenas	town	
15556	Taganga	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5000378
15557	Tagapipe	alcedo			
15558	Tagariba	alcedo	puerto	port	
15559	Tagaris	alcedo	people	cultural group	
15560	Taguacay	alcedo	rio	river	
15561	Taguatagua	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=7000041
15562	Taguatagua	alcedo	lago	lagoon	
15563	Taguiis	alcedo	pueblo	town	
15564	Tahuenhuato	alcedo	pueblo	town	
15565	Taiguen	alcedo	rio	river	
15566	Taijas	alcedo	pueblo	town	
15567	Tailor	alcedo	isla	island	
15568	Taimati	alcedo	rio	river	
15569	Taimati	alcedo	rio	river	
15570	Taimati	alcedo	reino	kingdom	
15571	Taime	alcedo	pueblo	town	
15572	Taimeo	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1002137
15573	Tairichi	alcedo	pueblo	town	
15574	Tajacoa	alcedo	pueblo	town	
15575	Tajair	alcedo			
15576	Tajair	alcedo	bahía	inlet	
15577	Tajai	alcedo	rio	river	
15578	Tajara	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000433
15579	Tajipuru	alcedo			
15580	Tal	alcedo	rio	river	
15581	Tala	alcedo	alcaldía mayor	inhabited place	
15582	Tala	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1000064
15583	Tala	alcedo	rio	river	
15584	Talacun	alcedo	pueblo	town	
15585	Talaga	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5600840
15586	Talahigua	alcedo	pueblo	town	
15587	Talalpa	alcedo	pueblo	town	
15588	Talamancas	alcedo	rio	river	
15589	Talanjas	alcedo	pueblo	town	
15590	Talassi	alcedo	pueblos y tierras indígenas	town	
15591	Talavera	alcedo	pueblo	town	
15592	Talavera	alcedo	pueblo	town	
15593	Talavera	alcedo	ciudad	city	
15594	Talbot	alcedo	condado	county	
15595	Talbot	alcedo	isla	island	
15596	Talca	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=7000175
15597	Talcaguano	alcedo	puerto	port	
15598	Talcapuei	alcedo	pueblo	town	
15599	Talea	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1002988
15600	Tale	alcedo	rio	river	
